"","results"
"178","Here are the extracted details:

* **Kampong:** Bengkurong
* **Price:** $239,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** TCP (Tender for Construction) submission, implying it is proposed or under-construction
* **Land_size:** 0.1235 acres (approximately 2063 sq ft)
* **Floor_size:** Not explicitly mentioned (but the total floor size can be inferred to be around 2063 sq ft)
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 3 toilets
* **Land_type:** Kekal (a type of land ownership in Brunei)
* **Additional Remark:**
	+ Remaining details not explicitly mentioned, but can be inferred as follows:
		- Location: Bengkurong, Brunei
		- Number of storeys: Double
		- Type of house: Detached"
"179","Here are the extracted details:

* **Kampong:** Selayun
* **Price:** $390,000.00
* **Type:**
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: Yes
	+ Semi-detached: No mention
* **Storey:** Double storey
* **Status:** Ready to move in (new)
* **Land size:** 0.194ac (approximately 7866 sq ft)
* **Floor size:** 2397 sq ft
* **Beds:** 5 rooms (assuming 4 bedrooms, 1 room possibly a study/office)
* **Baths:** 4 toilets (assuming all bathrooms)
* **Land type:** Kekal (in perpetuity)"
"180","Here are the extracted details:

1. **kampong**: Kiarong
2. **price**: $395,000.00
3. **type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Yes
4. **storey**: Three storey (Note: The question asked for single or double storey, but the answer is three storey)
5. **status**: Last unit available ( implies that some units are already sold or occupied)
6. **land_size**: 0.109 acres
7. **floor_size**: 3896 sqft
8. **beds**: 7 rooms
9. **baths**: 6 toilets
10. **land_type**: Kekal B (Note: Kekal is a type of land ownership in Brunei, where the land is held in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Single property for sale"
"181","Here are the extracted details:

1. **Kampong**:
	* Salambigar (village in Brunei)
2. **Price**:
	* BND $370,000
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Used (not new or under-construction)
6. **Land_size**:
	* 0.136 acre
7. **Floor_size**:
	* 2500 sqft
8. **Beds**:
	* 5 rooms (assuming 5 bedrooms)
9. **Baths**:
	* 5 toilet(s)
10. **Land_type**:
	* Leasehold (not explicitly stated, but implied by the context)
11. **Additional Remark**:
	* Fully furnished
	* Maidroom with own toilet
	* 2 living rooms
	* Garage for 3 cars"
"182","Here are the extracted details:

* **Kampong:** Salambigar
* **Price:** $410,000.00
* **Type:**
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: Yes
	+ Semi-detached: No mention
* **Storey:** Double storey
* **Status:** Under-construction
* **Land_size:** 0.19 acres (or approximately 7927 sq ft)
* **Floor_size:** 3200 sq ft
* **Beds:** 4 rooms
* **Baths:** 4 toilets
* **Land_type:** Kekal
* **Additional Remark:**
	+ Last unit available
	+ Double storey"
"183","Here are the extracted details:

* **kampong**: None mentioned, as this is a specific location in Brunei and it's not specified which one.
* **price**: 500 million months (interpreted as a typo for ""month"" instead of likely ""million"")
* **type**:
	+ Apartment
	+ Fully furnished
* **storey**: Single storey (implied by ""studio apartment"")
* **status**: None mentioned, but the caption suggests it might be available for sale or rent.
* **land_size**: Not specified
* **floor_size**: 500 sq.m. (interpreted from the price detail)
* **beds**: 1 bedroom (implied by ""studio apartment"")
* **baths**: 1 bathroom (implied by ""fully furnished"" and likely a standard setup for this type of apartment)
* **land_type**: Leasehold
* **Additional Remark**:
	+ Lift available
	+ 1 car park but not covered"
"184","Here are the extracted details:

**Kampong:**
- Kampong Kilanas-Mulaut (Ban 5)

**Price:**
- Price: $343,000
- Negotiable

**Type:**
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached: Not mentioned
- Semi-detached: Yes, 4 units of double storey semi-detached houses

**Storey:**
- Single Storey: No
- Double Storey: Yes

**Status:**
- New: Last unit ready for move-in
- Proposed: Not mentioned
- Under-construction: Not mentioned

**Land Size:**
- 0.109 acres (approx.)

**Floor Size:**
- Approximately 2551 sqft per unit

**Beds:**
- Number of bedrooms: 4 per unit

**Baths:**
- Number of toilets: 4 per unit

**Land Type:**
- Kekal (land held in perpetuity)"
"185","Here are the extracted details:

1. **Kampong:**
	* Lumapas
2. **Price:** $228,000.00
3. **Type:**
	* Detached house (specifically double storey)
4. **Storey:**
	* Double storey
5. **Status:**
	* Ready to build (i.e., not new or under-construction, but rather ready for construction)
6. **Land_size:** 
	* 0.113ac (approximately 5,700 sq ft) and 0.125ac (approximately 7,000 sq ft)
7. **Floor_size:**
	* 2,500 sq ft
8. **Beds:**
	* 4 rooms (presumably bedrooms)
9. **Baths:**
	* 5 toilets (presumably bathrooms)
10. **Land_type:**
	* Kekal (in perpetuity)
11. **Additional Remark:**
	* Only 2 units left to be built
12. **Other details:**
	* Units available on two different land sizes (0.113ac and 0.125ac)"
"186","Here are the extracted details:

**1. Kampong:**
None mentioned, as this appears to be a land sale listing without any specific village name.

**2. Price:**

* RM 0.15 per ekar (12k) for an area of less than 0.15 ekar
* RM 0.30 per ekar (24k) for an area of less than or equal to 0.5 ekar

**3. Type:**
None mentioned, as this is a land sale listing.

**4. Storey:**
Not applicable, as this is a land sale listing.

**5. Status:**

* New
* Proposed (possibly under-construction)

**6. Land Size:**
Up to 0.15 ekar

**7. Floor Size:**
Not applicable, as this is a land sale listing.

**8. Beds:**
None mentioned, as this is a land sale listing without any specific property details.

**9. Baths:**
None mentioned, as this is a land sale listing without any specific property details.

**10. Land Type:**
Kekal (In perpetuity)

**11. Additional Remark:**

* The remaining land area can be adjusted according to the buyer's needs.
* Minimum deposit required for booking is RM 500.
* Full refund will be provided in case of bank rejection, along with a letter.

Note that some details may not be applicable or mentioned in this listing."
"187","Here are the extracted details:

**Kampong:** Lumapas

**Price:** $212,000.00

**Type:**

* Apartment: No
* Bungalow: Yes (Detached)
* Detached: Yes
* Semi-detached: No

**Storey:** Single storey

**Status:** New (nearly completed)

**Land_size:** 0.125 acres

**Floor_size:** 1,370 sq ft

**Beds:** 3 rooms

**Baths:** 2 toilets

**Land_type:** Kekal"
"188","Here are the extracted details:

1. **Kampong**:
	* Kulapis (village in Brunei)
2. **Price**:
	* B$188,000 (for one unit)
	* B$178,000 (for another unit, but price range not specified)
3. **Type**:
	* Semi-detached
	* Bungalow
4. **Storey**:
	* Single storey
5. **Status**:
	* Under construction
6. **Land size**:
	* 0.104ac (for one unit)
	* 0.087ac (for another unit)
7. **Floor size**:
	* 2,110 sq ft
	* 2,273 sq ft
8. **Beds**:
	* Not specified
9. **Baths**:
	* 3 toilets (not specified if bathrooms)
10. **Land type**:
	* Kekal
11. **Additional remark**:
	* The property is expected to be completed by February 2022.
	* There are two units available.
	* Each unit has three rooms."
"189","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**:
	* Selling price: $358,000 (or $365,000)
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: Existing/Ready for occupation
6. **Land_size**: 2803 sqft (square foot)
7. **Floor_size**: Not mentioned explicitly, but implied to be related to the floor area of a double-storey house
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 3 toilets (assuming bathrooms)
10. **Land_type**: Kekal (in perpetuity)"
"190","Here are the extracted details:

1. **Kampong**: Tanah Jambu
2. **Price**: $900/month
3. **Type**:
	* Apartment: None
	* Bungalow: None
	* Detached: None
	* Semi-detached: Yes (double storey)
4. **Storey**: Double storey
5. **Status**: For rent
6. **Land_size**: Not specified
7. **Floor_size**: Not specified
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land_type**: Leasehold (implied by ""for rent"")
11. **Additional Remark**:
	* Double storey
	* Semi-detached"
"191","Here are the extracted details:

1. **Kampong (Village in Brunei):** 
    - The kampong mentioned is not explicitly stated, but the location ""Gadong"" is likely referring to Kampong Ayer Besar or Kampong Gadong, both of which are villages in Brunei.

2. **Price:**
    - The price details mention that it's available for rent at BND 550/month, including water only.

3. **Type:**
    - The types mentioned include:
        - Apartment
        - Flat (implied by ""gadong flat"")
        - Not explicitly stated as bungalow, detached, or semi-detached.

4. **Storey:**
    - It is a double-storey unit since it's described as being on the 4th floor with no lift.

5. **Status:**
    - The status is not explicitly mentioned, but it seems to be available for rent, indicating that it might have been renovated and is ready for occupancy, hence possibly ""new"" in its current state of renovation.

6. **Land Size:**
    - This detail is not provided.

7. **Floor Size:**
    - Not specifically mentioned; the focus seems to be on the number of rooms and areas within the flat rather than floor space.

8. **Beds (Bedrooms):** 
    - There are 2 rooms, which can imply either 1 or 2 bedrooms depending on their size and configuration.

9. **Baths:**
    - It mentions having ""1 toilet,"" implying at least one bathroom.

10. **Land Type:**
    - Not mentioned; the focus is solely on the flat itself for rent.

11. **Additional Remark:**
    - The flat has been just renovated, with specific features like fans, airconds in rooms, curtains, living room also having a curtain, kitchen and living area each have a balcony, and it includes water in the rent price.
    
12. **Caption Details:**
    - Not specifically categorized under any other detail but worth noting:
        - No lift
        - Rooms and areas have airconditions and curtains"
"192","Here are the extracted details:

**Kampong (Village in Brunei):**
- Subok

**Price:**
- $185,000.00

**Type:**
- Double Storey Terrace House
- Apartment, Bungalow, Detached, Semi-Detached (not mentioned, but Double Storey Terrace House is a type of semi-detached house)

**Storey:**
- Double storey

**Status:**
- Under-construction

**Land Size:**
- 0.068 acres (approximately)
- 0.11 acres (approximately)

**Floor Size:**
- 1,884 sq ft

**Beds:**
- 4 bedrooms

**Baths:**
- 4 bathrooms

**Land Type:**
- Kekal

**Additional Remark:**
- Remaining details include the address and status of being under construction."
"193","Here are the extracted details:

* **kampong:** Telanai
* **price:** $270,000.00
* **type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned
	+ Terrace House: Three storey terrace house
* **storey:** Three storey
* **status:** Used (not new, proposed, or under-construction)
* **land_size:** 0.047 acre
* **floor_size:** 3,140 sq ft
* **beds:** 5 bedrooms
* **baths:** 5 bathrooms
* **land_type:** Kekal B
* **Additional Remark:**
	+ ""used""
	+ Three storey
	+ 5 bedroom
	+ 5 bath
	+ 3,140 sq ft
	+ 0.047 acre
	+ Kekal B"
"194","Here are the extracted details:

* **Kampong:** Tg Nangka
* **Price:**
	+ Original price: $268k
	+ Current price: $258k
* **Type:** 
	+ Apartment, bungalow, detached, semi-detached (none of these; it's a double storey detached house)
* **Storey:** Double storey
* **Status:** Under-construction
* **Land_size:** 0.13 acres
* **Floor_size:** 2,002.49 sqft
* **Beds:** 4 rooms (implied to be bedrooms, but not explicitly stated)
* **Baths:** 4 toilets (implied to be bathrooms, but not explicitly stated)
* **Land_type:** Kekal
* **Additional Remark:**
	+ Last unit available
	+ Now selling at a lower price ($258k instead of $268k)"
"195","Here are the extracted details:

**1. Kampong:**
No specific kampong (village in Brunei) is mentioned.

**2. Price:**
* Price range: Starting from $0.15 (12k) to $0.30 (24k)
* Minimum deposit: $500
* Refundable with bank rejection letter

**3. Type:**
* No specific type of property (apartment, bungalow, detached, semi-detached) is mentioned.

**4. Storey:**
No storey details are mentioned.

**5. Status:**
* Not specified whether it's new, proposed, or under-construction.

**6. Land_size:**
* 5.01 ekar (approximately 2 hectares)

**7. Floor_size:**
Not specified.

**8. Beds:**
Not specified (number of bedrooms).

**9. Baths:**
Not specified (number of bathrooms).

**10. Land_type:**
* Kekal (in perpetuity) - more than 0.15 ekar

**11. Additional Remark:**
* The property is located near a river (sungai)
* Terrain: flat (inda bebukit), with some hilliness (kami boleh adjust semula keluasannya mengikut keperluan pembeli)
* Type of agreement: Leasehold
* Can be adjusted in size according to buyer's needs"
"196","Here are the extracted details:

**Kampong:** 
- Tungku (village in Brunei)

**Price:**
- $288,000.00

**Type:**
- Semi-detached house
- Double storey

**Storey:**
- Double storey

**Status:**
- Completed earthwork (implying it is a completed or existing property)

**Land_size:** 
- 0.060 acres

**Floor_size:** 
- 2300 sq ft

**Beds:**
- 4 rooms (assuming bedrooms, although not explicitly stated)

**Baths:**
- 3 toilets (assuming bathrooms, although not explicitly stated)

**Land_type:**
- Kekal (land tenure in Brunei, implying perpetual ownership rights)

**Additional Remark:** 
- Last unit available
- Remaining details include:
    - Earthwork completed
    - Location is a village or kampong (titled as 'kampong' in the prompt)"
"197","Here are the extracted details:

**Kampong:** 
- Tg Bunut Kekal

**Price:**
- Original price: BND $258,000
- Current price: BND $248,000 (now offer)

**Type:**
- Apartment: No mention
- Bungalow: No mention
- Detached: Yes
- Semi-detached: No mention

**Storey:**
- Double storey

**Status:**
- New (ready to build)
- Proposed: No mention
- Under-construction: No mention

**Land Size:** 
- 0.10 acres

**Floor Size:** 
- 1,900 sq ft

**Beds:** 
- 4 rooms

**Baths:** 
- 3 toilets

**Land Type:** 
- Kekal"
"198","Here are the extracted details:

* **Kampong**: Katok (village in Brunei)
* **Price**: $700 (monthly rent)
* **Type**: Apartment
* **Storey**: 2nd Floor
* **Status**: For Rent
* **Land Size**: Not mentioned
* **Floor Size**: Not mentioned
* **Beds**: 1 bedroom
* **Baths**: Not mentioned (assuming it's a shared bathroom since it's an apartment)
* **Land Type**: Leasehold (implied, not explicitly stated but common in Brunei)
* **Additional Remark**:
	+ Fully furnished
	+ One room apartment"
"199","Here are the extracted details:

1. **Kampong**:
	* Tg Nangka
2. **Price**:
	* B$238,000.00
3. **Type**:
	* Semi-detached house (double storey)
4. **Storey**:
	* Double storey
5. **Status**:
	* Under-construction
6. **Land_size**:
	* 0.055ac
7. **Floor_size**: 
	* Not specified
8. **Beds**:
	* 4 rooms (assumed to be bedrooms)
9. **Baths**:
	* 3 toilets (assumed to be bathrooms)
10. **Land_type**:
	* Kekal
11. **Additional Remark**:
	* The house is located at Tg Nangka, Brunei.
12. **Caption**:
	* ""2 units double storey semi-detached house..."""
"200","Here are the extracted details:

1. **Kampong**:
	* Tg Nangka (mentioned in the caption)
2. **Price**: $125,000.00
3. **Type**:
	* Apartment: No mention
	* Bungalow: Yes, semi-detached
	* Detached: No mention
	* Semi-detached: Yes, double storey
4. **Storey**: Double storey
5. **Status**: Available (2 units left) - not new, proposed, or under-construction
6. **Land Size**: Not mentioned
7. **Floor Size**: Not mentioned
8. **Beds** (number of bedrooms): 3 rooms
9. **Baths** (number of bathrooms): 2 toilets
10. **Land Type**: Leasehold
11. **Additional Remark**:
	* Tg Nangka location
	* Earthwork
	* Semi-detached bungalow house"
"201","Here are the extracted details:

1. **kampong**: Tg Bunut
2. **price**: $420,000.00
3. **type**:
	* Detached house (detached)
	* Three storey (storey count not mentioned previously, but now known to be 3)
4. **status**: Waiting OP (Offer Price, likely referring to a sale or resale status)
5. **land_size**: 2,202.71 sq ft
6. **floor_size**: Not explicitly mentioned (likely assumed to be the same as land size for detached houses)
7. **beds**: Not explicitly mentioned (assuming not applicable for this type of property)
8. **baths**: Not explicitly mentioned (assuming not applicable for this type of property)
9. **land_type**: Kekal
10. **Additional Remark**:
	* The remaining details are:
		+ Three storey
		+ Detached house at Tg Bunut"
"202","Here are the extracted details:

1. **Kampong:**
	* Tg Nangka
2. **Price:**
	* BDT 250,000.00 - BDT 258,000.00
3. **Type:**
	* Detached house (double storey)
4. **Storey:**
	* Double storey
5. **Status:**
	* Proposed
6. **Land size:**
	* Approximately 0.151 acres to 0.146 acres (Note: the exact land size is not provided, only a range is given)
7. **Floor size:**
	* 2,487 sq ft
8. **Beds:**
	* 4 rooms (assuming bedrooms)
9. **Baths:**
	* 5 toilets (assuming bathrooms)
10. **Land type:**
	* Kekal (in perpetuity)
11. **Additional Remark:**
	* The house is double storey and has a unique range of land size, with a price range of BDT 250,000.00 to BDT 258,000.00."
"203","Here are the extracted details:

1. **Kampong:**
	* Bunut
2. **Price:**
	* $138,000.00
3. **Type:**
	* Apartment: Not mentioned
	* Bungalow: Mentioned
	* Detached: Not mentioned
	* Semi-detached: Mentioned (specifically a semi-detached bungalow)
4. **Storey:**
	* Single storey
5. **Status:**
	* Proposed (unit piling now, implying construction has not started yet)
6. **Land_size:**
	* 0.0552 acres
7. **Floor_size:**
	* 1,100 sq ft
8. **Beds:**
	* 3 rooms (assuming 3 bedrooms)
9. **Baths:**
	* 2 toilets (assuming 2 bathrooms)
10. **Land_type:**
	* Leasehold, lease period 85 years
11. **Additional Remark:**
	* Unit piling now
	* Last unit"
"204","Here are the extracted details:

1. **Kampong:**
	* No specific kampong (village in Brunei) is mentioned.
2. **Price:**
	* Price per land size:
		+ 0.15 ekar = $12,000
		+ 0.30 ekar = $24,000
3. **Type:**
	* No specific type of house (apartment, bungalow, detached, semi-detached) is mentioned.
4. **Storey:**
	* Not specified (single or double storey)
5. **Status:**
	* Proposed (mentioned as ""syarat perumahan am"" which translates to ""housing plan"")
6. **Land_size:**
	* 5.01 ekar
7. **Floor_size:**
	* Not applicable (as it's a land sale, not a building)
8. **Beds:**
	* Not specified (number of bedrooms)
9. **Baths:**
	* Not specified (number of bathrooms)
10. **Land_type:**
	* Kekal (in perpetuity)
11. **Additional Remark:**
	* The remaining details are:
		+ Location: near Sungai Keluasan
		+ Land condition: flat, no hills (""tanah rata inda bebukit"")
		+ Minimum deposit required: $500
		+ Full refund with bank rejection letter for booking

Note that the original text is written in Malay and appears to be a sales notice for land sale in Brunei."
"205","Here are the extracted details:

1. **Kampong**: Kiarong
2. **Price**: $480 per month (including water, electricity, and air conditioner)
3. **Type**:
	* Apartment/Flat
4. **Storey**: Not specified (could be single or double storey)
5. **Status**: For rent (not new, proposed, or under-construction)
6. **Land_size**: Not mentioned
7. **Floor_size**: Not specified
8. **Beds**: Studio flat (implying 1 bedroom)
9. **Baths**: Not specified (but likely 1 bathroom for a studio flat)
10. **Land_type**: Leasehold (implied by the word ""for rent"")
11. **Additional Remark**:
	* No additional details mentioned"
"206","Here are the extracted details:

**Kampong/Village**
- Kampong: Kg Jerudong

**Price Details**
- Price: $310,000 (now offered at) / $318,000 (original price)

**Type of Property**
- Type: Detached house
- Specific types mentioned: double storey, apartment not mentioned, bungalow not mentioned, semi-detached not mentioned

**Storey**
- Storey: Double storey

**Status**
- Status: Under construction

**Land and Floor Details**
- Land size: 0.12 acres
- Floor size: 2600 sq ft

**Bedrooms and Bathrooms**
- Beds (number of bedrooms): 5 rooms
- Baths (number of bathrooms): 6 toilets

**Land Type**
- Land type: In perpetuity

**Additional Remark**
- Additional remark:
    - Last unit available
    - Double storey detached house"
"207","Here are the extracted details:

**Kampong:** 
No specific kampong (village in Brunei) is mentioned.

**Price:**
- Price: $650,000 (month)

**Type:**
- Apartment 

**Storey:**
- 1st floor 

**Status:**
- New (Note: It's unclear if ""new"" refers to the building or the status of availability. The text likely implies it is a new listing.)

**Land Size:** 
Not mentioned

**Floor Size:** 
Not specified

**Beds:** 
- 1 room 

**Baths:** 
Not mentioned

**Land Type:**
Not mentioned

**Additional Remarks:**

* Fully furnished
* 1 covered car park"
"208","Here are the extracted details:

* **Kampong:** Kasat
* **Price:** BDT 130,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Yes
	+ Detached: Not mentioned
	+ Semi-detached: Yes (semi-detached bungalow)
* **Storey:** Single storey (not explicitly stated but implied by the ""bungalow"" type)
* **Status:** Under-construction
* **Land_size:** 0.0758ac to 0.0790ac ( approx 0.03ha or 3000 sq ft)
* **Floor_size:** 1,215.23 sq ft
* **Beds:** 4 rooms (implying 4 bedrooms)
* **Baths:** 2 toilets (implying 2 bathrooms)
* **Land_type:** Kekal (leasehold)
* **Additional Remark:**
	+ Only 2 units left
	+ Located in the kampong of Kasat"
"209","Here are the extracted details:

1. **Kampong**:
	* Sg Tilong (note: I assume this is a village in Brunei, but could not verify its exact location)
2. **Price**: $377,000.00
3. **Type**:
	* Detached house
4. **Storey**: Double storey
5. **Status**: Under construction
6. **Land_size**: 0.0994 acres (approximately)
7. **Floor_size**: Not specified, but mentioned as 3,000 sqft (note: I assume this refers to the floor size, not land size)
8. **Beds**:
	* Not specified directly, but mentioned as ""5 rooms"" which likely includes bedrooms
9. **Baths**:
	* 5 toilets (note: some sources suggest that toilets and bathrooms may be used interchangeably in certain contexts, although this is not always the case)
10. **Land_type**: Kekal (a type of land ownership in Brunei where the land is owned for perpetuity, but subject to certain conditions)
11. **Additional Remark**:
	* New property
	* Double storey feature"
"210","Here are the extracted details:

* **Kampong:** Serasa
* **Price:** $120,000.00 (cash), bank loan, or government loan available
* **Type:**
	+ Apartment: No mention
	+ Bungalow: Yes, Terrace Bungalow
	+ Detached: No mention
	+ Semi-detached: No mention
* **Storey:** Single storey
* **Status:** Under construction (last unit)
* **Land Size:** Not mentioned
* **Floor Size:** 4 rooms, no floor size mentioned
* **Beds:** 4 rooms (assuming bedrooms), 2 toilets (assuming 1 toilet per 2 rooms is a common ratio, but exact number of bedrooms not specified)
* **Baths:** 2 toilets
* **Land Type:** Kekal
* **Additional Remark:**
	+ Last unit available
	+ Middle unit B
	+ Cash, bank loan, or government loan options available"
"211","Here are the extracted details:

1. **Kampong**:
	* Kampong: Kilanas
2. **Price**:
	* Price: B$308,000.00
3. **Type**:
	* Type: Detached house
4. **Storey**:
	* Storey: Double storey
5. **Status**:
	* Status: Proposed
6. **Land Size**:
	* Land size: 0.130 acres
7. **Floor Size**:
	* Floor size: 2,557.49 sq ft
8. **Beds**:
	* Number of bedrooms: 5 rooms
9. **Baths**:
	* Number of bathrooms: 4 toilets
10. **Land Type**:
	* Land type: Kekal (in perpetuity)
11. **Additional Remark**:
	* Remaining details: ""double storey"" and the location is mentioned as Kampong Kilanas, with a specific land size in both acres and square feet."
"212","Here are the extracted details:

* **kampong**: Lumapas
* **price**: $212,000.00
* **type**:
	+ Apartment: Not mentioned
	+ Bungalow: Yes
	+ Detached: Yes
	+ Semi-detached: No
* **storey**: Single storey
* **status**: Nearly completed (new)
* **land_size**: 0.125 acres
* **floor_size**: 1,370 sq ft
* **beds**: 3 rooms (assuming bedrooms)
* **baths**: 2 toilets (assuming bathrooms)
* **land_type**: Kekal
* **Additional Remark**:
	+ Last unit
	+ Nearly completed
	+ In perpetuity land type"
"213","Here are the extracted details:

**Kampong:**
None mentioned, as this text appears to be a property listing in Malay and does not specify a kampong.

**Price:**

* Price range: $12k - $24k ( depending on land size)
* Minimum deposit: $500
* Full refund with bank rejection letter

**Type:**
None of the types ""apartment"", ""bungalow"", ""detached"", or ""semi-detached"" are mentioned.

However, there is a mention of:
* 'kg bokok temburung' which can be translated to ""a plot of land""

**Storey:**
No storey details are provided. It seems like the listing is for a plot of land rather than a building.

**Status:**
None of the statuses ""new"", ""proposed"", or ""under-construction"" are mentioned.

However, there is a mention that 'kami boleh adjust semula keluasannya mengikut keperluan pembeli' which can be translated to ""we can adjust the area according to buyer's needs""

**Land_size:**
* 5.01 ekar (approximately 1.98 hectares)

**Floor_size:**
No floor size is mentioned, as this appears to be a listing for a plot of land.

**Beds and Baths:**
None mentioned, as this seems to be a listing for a plot of land rather than a residential property.

**Land_type:**

* 'Kekal' which can be translated to ""in perpetuity""

**Additional Remark:**

* The remaining details are in Malay and appear to be related to the sale process and terms."
"214","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**:
	* Intermediate B: $380,000.00
	* Corner B: $400,000.00
3. **Type**: 
	* Shophouses
4. **Storey**: Not mentioned (implied to be single or double storey)
5. **Status**: Proposed
6. **Land_size**: 3,500 sq ft
7. **Floor_size**: Not mentioned
8. **Beds**: Not mentioned (no bedrooms listed)
9. **Baths**: 2 toilets (assumed to be bathrooms)
10. **Land_type**: Leasehold for 60 years
11. **Additional Remark**: None specific, but the caption mentions ""shophouses"" which implies a commercial or mixed-use development.

Note that some details, such as storey, floor size, beds, and baths, are not mentioned in the original text."
"215","Here are the extracted details:

**kampong:**
* Lempaki Mulaut

**price:**
* $273,000 (minimum price)
* $283,000 (maximum price)

**type:**
* Apartment
* Bungalow
* Detached
* Semi-detached

**storey:**
* Double storey

**status:**
* Ready for move-in (no new/construction status mentioned)

**land_size:**
* 0.070ac (minimum land size)
* 0.108ac (maximum land size)

**floor_size:**
* 1,950 sq ft

**beds:**
* 4 bedrooms

**baths:**
* 3 bathrooms

**land_type:**
* Kekal

**Additional Remark:**
* 2 units left
* Ready move-in"
"216","Here are the extracted details:

1. **kampong**:
	* Mentioned kampong (village): Kilanas
2. **price**:
	* Price: $400,000.00
3. **type**:
	* Type: Detached house
4. **storey**:
	* Storey: Double storey
5. **status**:
	* Status: New (ready to move in)
6. **land_size**:
	* Land size: 0.132 acres
7. **floor_size**:
	* Floor size: 3,500 sqft
8. **beds**:
	* Number of bedrooms: 5 rooms
9. **baths**:
	* Number of bathrooms: Not specified (but not mentioned as a separate detail)
10. **land_type**:
	* Land type: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available (ready to move in)
	* 5 rooms"
"217","Here are the extracted details:

1. **Kampong**:
	* Tanah Jambu
2. **Price**: $268,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: Under-construction
6. **Land_size**: 0.0977ac (approximately 0.039ha or 3948 sqm)
7. **Floor_size**: 2,100 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**:
	* Leasehold: No
	* In perpetuity: No
	* Kekal: Yes
11. **Additional Remark**:
	* Remaining details: None mentioned
12. **Caption**: Double storey detached house"
"218","Here are the extracted details:

**Kampong:**
Not mentioned (since it's for a flat in Gadong, Brunei, which is an urban area)

**Price:**
$550/month (inclusive of water)

**Type:**

* Apartment
* Flat (implied by ""Gadong flat"")

**Storey:**

* 4th floor (no mention of single or double storey)
* No lift (indicating a high-rise building)

**Status:**
Not mentioned

**Land_size:** 
Not applicable (since it's a flat, not a landed property)

**Floor_size:**
Not explicitly mentioned, but can be inferred as follows:

* 2 rooms
* 1 kitchen
* 1 living area
* Balcony at living area and kitchen

Assuming average sizes, this could translate to around 600-800 sqft (not exact)

**Beds:** 
2 bedrooms

**Baths:**
1 bathroom

**Land_type:**

Not mentioned (since it's a flat, not a landed property)

**Additional Remark:**

* Just renovated
* No lift
* Aircon in rooms and curtains in living room"
"219","Here are the extracted details:

**Kampong:**
None mentioned (the text is in Malay and talks about a land sale, not a specific kampong)

**Price:**

* Price details:
	+ RM0.15 per ekar (12k) for land size less than 0.15ekar
	+ RM0.30 per ekar (24k) for land size between 0.15-5ekar

**Type:**
None mentioned (the text is about a land sale, not a property type)

However, since the text mentions ""am jenis kebenaran kekal"", which translates to ""am Kebenaran Kekal"" or ""in perpetuity"" land title, I assume this refers to the land type being sold.

**Storey:**
None mentioned

**Status:**

* New
* Proposed (since it's for sale)
* Under-construction (not explicitly mentioned but implied)

**Land_size:**
5.01ekar

**Floor_size:**
Not applicable (since it's a land sale, not an apartment or house sale)

**Beds:**
Not applicable (since it's a land sale)

**Baths:**
Not applicable (since it's a land sale)

**Land_type:**

* In perpetuity (Kebenaran Kekal)
* Leasehold (not explicitly mentioned but implied to be included in the price options)

**Additional Remark:**
The text mentions:

* Remaining details: RM500 minimum deposit, full refund with bank rejection letter
* Adjustments possible for land size based on buyer's needs
* Land is located near Sungai and Keluasan tanah (meaning it has water frontage)"
